"","Item_Name","Price","disc"
"1","HP All-in-One 24-dp1821 11th Gen Core i3 Windows 11 Home Desktop (8GB RAM, 512GB SSD, Intel UHD Graphics, MS Office, 60.45cm (23.8 Inches), 515S6PA, Silver)"," ₹49,990.00 ","(Save ₹9210)"
"2","D-Link AX1500 Dual Band 1201 Mbps WiFi Router (4 Antennas, 3 LAN Ports, Google Assistant And Alexa Supported, R15, White)"," ₹2,999.00 ","(Save ₹2181)"
"3","Seagate Backup Plus Slim Portable 2TB USB 3.0 Hard Disk Drive (3-Year Rescue Data Recovery, STHN2000400, Black)"," ₹5,499.00 ","(Save ₹2500)"
"4","HP 32GB Flash Drive (x740w, Silver)"," ₹299.00 ","(Save ₹801)"
"5","Sandisk Cruzer Blade 32GB USB 2.0 Flash Drive (SDCZ50-032G-B35 | Red/Black)"," ₹339.00 ","(Save ₹311)"
"6","Samsung 68.6 cm (27 inch) Full HD Flat Monitor (Mobile Connectivity, 60Hz, LS27BM500EWXXL, Black)"," ₹18,990.00 ","(Save ₹13510)"
"7","HP DeskJet 2729 Wireless Color All-in-One Inkjet Printer (Mobile Printing Capability, 7FR54D, Tera Cotta)"," ₹5,699.00 ","(Save ₹1306)"
"8","Epson EcoTank L3250 Wireless Colour All-in-one Ink Tank Printer (USB 2.0 Connectivity, C11CJ67508, Black)"," ₹15,999.00 ","(Save ₹2000)"
"9","Apple iPad 9th Generation Wifi (10.2 Inch, 64GB ROM, Silver, 2021 model)"," ₹29,990.00 ","(Save ₹910)"
"10","Apple iPad Pro 11 3rd Generation Wifi (11 Inch, 128GB ROM, Space Grey, 2021 model)"," ₹67,199.00 ","(Save ₹4701)"
